order_id,user_id,order_date,order_status,total_amount,name,email,gender,city,signup_date,order_item_id,product_id,quantity,item_price,item_total,product_name,category,brand,price,product_rating,review_rating,review_text
O00000001,U009310,2025-09-09 14:52:37,processing,689.66,Christine Snyder,john14@example.com,Female,Jonestown,2024-02-22,I00000001,P001758,2,8.07,16.14,Everest Whole,Pet Supplies,Everest,8.07,2.69,,
O00000001,U009310,2025-09-09 14:52:37,processing,689.66,Christine Snyder,john14@example.com,Female,Jonestown,2024-02-22,I00000002,P001119,1,74.08,74.08,Nimbus Minute,Beauty,Nimbus,74.08,3.62,2.0,Color was different from images.
O00000001,U009310,2025-09-09 14:52:37,processing,689.66,Christine Snyder,john14@example.com,Female,Jonestown,2024-02-22,I00000003,P001794,1,576.97,576.97,Willow Treatment,Automotive,Willow,576.97,3.89,,
O00000001,U009310,2025-09-09 14:52:37,processing,689.66,Christine Snyder,john14@example.com,Female,Jonestown,2024-02-22,I00000004,P001038,1,22.47,22.47,Nimbus Deal,Books,Nimbus,22.47,4.85,,
O00000002,U003247,2025-04-15 01:18:27,completed,1666.85,Ryan Valencia,stevensonanthony@example.net,Male,South Mary,2024-03-23,I00000005,P000859,1,422.22,422.22,Pulse Decide,Electronics,Pulse,422.22,3.51,,
O00000002,U003247,2025-04-15 01:18:27,completed,1666.85,Ryan Valencia,stevensonanthony@example.net,Male,South Mary,2024-03-23,I00000006,P000803,1,953.03,953.03,GreenLeaf Item,Electronics,GreenLeaf,953.03,3.43,4.0,Works perfectly!
O00000002,U003247,2025-04-15 01:18:27,completed,1666.85,Ryan Valencia,stevensonanthony@example.net,Male,South Mary,2024-03-23,I00000007,P000324,1,60.11,60.11,Harbor Visit,Toys,Harbor,60.11,3.2,,
O00000002,U003247,2025-04-15 01:18:27,completed,1666.85,Ryan Valencia,stevensonanthony@example.net,Male,South Mary,2024-03-23,I00000008,P000454,1,231.49,231.49,Solace Different,Home & Kitchen,Solace,231.49,3.58,4.0,Item arrived damaged.
O00000003,U007252,2025-04-27 15:37:48,processing,665.06,Tammy Fox,roberthenderson@example.org,Other,Wilsonton,2024-06-27,I00000009,P001344,1,103.47,103.47,Orion Second,Pet Supplies,Orion,103.47,2.72,,
O00000003,U007252,2025-04-27 15:37:48,processing,665.06,Tammy Fox,roberthenderson@example.org,Other,Wilsonton,2024-06-27,I00000010,P000919,1,33.99,33.99,Willow Value,Toys,Willow,33.99,2.92,,
O00000003,U007252,2025-04-27 15:37:48,processing,665.06,Tammy Fox,roberthenderson@example.org,Other,Wilsonton,2024-06-27,I00000011,P001030,2,263.8,527.6,Acme Figure,Home & Kitchen,Acme,263.8,4.76,5.0,Highly recommend this brand.
O00000004,U008986,2025-10-04 20:35:22,cancelled,689.5,Kurt Howard,nancy40@example.org,Female,New Barbarafurt,2024-12-04,I00000012,P000684,1,26.34,26.34,GreenLeaf Reveal,Groceries,GreenLeaf,26.34,3.76,4.0,Color was different from images.
O00000004,U008986,2025-10-04 20:35:22,cancelled,689.5,Kurt Howard,nancy40@example.org,Female,New Barbarafurt,2024-12-04,I00000013,P001139,2,264.04,528.08,Willow Past,Home & Kitchen,Willow,264.04,4.71,,
O00000004,U008986,2025-10-04 20:35:22,cancelled,689.5,Kurt Howard,nancy40@example.org,Female,New Barbarafurt,2024-12-04,I00000014,P001247,2,67.54,135.08,Nimbus When,Clothing,Nimbus,67.54,3.58,,
O00000005,U008537,2024-11-13 08:15:18,cancelled,860.5,Kevin Krause,kyliechandler@example.net,Male,New Christophermouth,2025-03-12,I00000015,P000637,1,4.87,4.87,Nimbus Everything,Pet Supplies,Nimbus,4.87,3.47,,
O00000005,U008537,2024-11-13 08:15:18,cancelled,860.5,Kevin Krause,kyliechandler@example.net,Male,New Christophermouth,2025-03-12,I00000016,P001684,1,728.97,728.97,Acme Anyone,Automotive,Acme,728.97,4.12,5.0,Fast shipping and good packaging.
O00000005,U008537,2024-11-13 08:15:18,cancelled,860.5,Kevin Krause,kyliechandler@example.net,Male,New Christophermouth,2025-03-12,I00000017,P001599,2,63.33,126.66,Willow Report,Books,Willow,63.33,4.71,,
O00000006,U003449,2024-10-13 09:02:27,completed,2258.34,Mason Owens,wharris@example.org,Other,Danielfort,2025-05-17,I00000018,P000054,3,435.87,1307.61,GreenLeaf Hair,Automotive,GreenLeaf,435.87,4.04,5.0,Fast shipping and good packaging.
O00000006,U003449,2024-10-13 09:02:27,completed,2258.34,Mason Owens,wharris@example.org,Other,Danielfort,2025-05-17,I00000019,P001002,3,209.1,627.3,Harbor Night,Clothing,Harbor,209.1,3.68,,
O00000006,U003449,2024-10-13 09:02:27,completed,2258.34,Mason Owens,wharris@example.org,Other,Danielfort,2025-05-17,I00000020,P001857,1,92.99,92.99,GreenLeaf Improve,Toys,GreenLeaf,92.99,3.23,,
O00000006,U003449,2024-10-13 09:02:27,completed,2258.34,Mason Owens,wharris@example.org,Other,Danielfort,2025-05-17,I00000021,P001940,2,115.22,230.44,Acme Road,Sports,Acme,115.22,2.78,,
O00000007,U006985,2024-05-01 04:44:56,returned,769.71,Kent Brown,nancyfernandez@example.org,Male,Melissaland,2025-05-07,I00000022,P000004,1,541.41,541.41,Nimbus South,Electronics,Nimbus,541.41,4.14,,
O00000007,U006985,2024-05-01 04:44:56,returned,769.71,Kent Brown,nancyfernandez@example.org,Male,Melissaland,2025-05-07,I00000023,P000792,1,228.3,228.3,Zenith Might,Sports,Zenith,228.3,3.99,3.0,"Excellent product, will buy again."
O00000008,U007661,2024-03-03 23:33:23,completed,15.21,Leah Hill,lnunez@example.com,Male,Khanfurt,2025-05-24,I00000024,P000497,1,15.21,15.21,Acme Owner,Books,Acme,15.21,3.69,,
O00000009,U000610,2025-10-29 07:00:11,cancelled,229.02,Rachel Taylor,parkerrichard@example.org,Male,Howardmouth,2025-05-15,I00000025,P001301,2,114.51,229.02,Astra Without,Clothing,Astra,114.51,2.87,,
